"crit","zip"
"9002302","03220"
"9002303","03221"
"9002304","03222"
"9002305","03223"
"9002306","03224"
"9002307","03225"
"9002308","03226"
"9002309","03227"
"9002310","03229"
"9002311","03230"
"9002312","03233"
"9002313","03234"
"9002314","03235"
"9002315","03237"
"9002316","03240"
"9002317","03241"
"9002318","03242"
"9002319","03243"
"9002320","03244"
"9002321","03245"
"9002322","03246"
"9002324","03249"
"9002325","03251"
"9002326","03253"
"9002327","03254"
"9002328","03255"
"9002329","03256"
"9002330","03257"
"9002331","03258"
"9002332","03259"
"9002333","03260"
"9002334","03261"
"9002335","03262"
"9002336","03263"
"9002337","03264"
"9002338","03266"
"9002339","03268"
"9002340","03269"
"9002341","03275"
"9002342","03276"
"9002343","03278"
"9002344","03279"
"9002345","03280"
"9002346","03281"
"9002347","03282"
"9002348","03284"
"9002349","03285"
"9002350","03287"
"9002351","03290"
"9002352","03291"
"9002353","03301"
"9002354","03303"
"9002355","03304"
"9002356","03307"
"9002357","03431"
"9002358","03440"
"9002359","03441"
"9002360","03442"
"9002361","03443"
"9002362","03444"
"9002363","03445"
"9002364","03446"
"9002365","03447"
"9002366","03448"
"9002367","03449"
"9002368","03450"
"9002369","03451"
"9002370","03452"
"9002371","03455"
"9002372","03456"
"9002373","03457"
"9002374","03458"
"9002375","03461"
"9002376","03462"
"9002377","03464"
"9002378","03465"
"9002379","03466"
"9002380","03467"
"9002381","03470"
"9002382","03561"
"9002383","03570"
"9002384","03574"
"9002385","03575"
"9002386","03576"
"9002387","03579"
"9002388","03580"
"9002389","03581"
"9002390","03582"
"9002391","03583"
"9002392","03584"
"9002393","03585"
"9002394","03586"
"9002395","03588"
"9002396","03590"
"9002397","03592"
"9002398","03595"
"9002399","03598"
"9002400","03601"
"9002401","03602"
"9002402","03603"
"9002403","03605"
"9002404","03607"
"9002405","03608"
"9002406","03609"
"9002407","03740"
"9002408","03741"
"9002409","03743"
"9002410","03745"
"9002411","03748"
"9002412","03750"
