URL,Last crawled
https://www.pdx.edu/technology/sites/informationtechnology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s105va,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/disability-resource-center/news?page=2&tid=PSU 
News",2023-12-12
https://www.pdx.edu/child-language-learning-center/research/news/dr-tomas-cotik-creates-new-augmented-reality-musical-experience,2023-12-12
https://www.pdx.edu/early-childhood-hub/business/visit/news/psu-study-everything-was-stronger-deadly-june-2021-pnw-heatwave,2023-12-12
https://www.pdx.edu/turkish-studies-center/dean-student-life/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/early-childhood-hub/housing/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/early-childhood-hub/international-students/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59jfd,2023-12-12
"https://www.pdx.edu/child-language-learning-center/international-students/calendar/week?tid=colleges 
%26 schools",2023-12-12
https://www.pdx.edu/early-childhood-hub/arts/calendar/day?tid=sustainability,2023-12-12
"https://www.pdx.edu/turkish-studies-center/students-with-children/calendar/day?tid=academic 
support",2023-12-12
"https://www.pdx.edu/turkish-studies-center/business/calendar/week?tid=academic 
support",2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/news/psu-study-low-income-neighborhoods-east-portland-more-vulnerable-flooding-extreme-heat,2023-12-12
https://www.pdx.edu/child-language-learning-center/student-life/events/steps-pdx-presents-nightmare-christmas-0,2023-12-12
"https://www.pdx.edu/early-childhood-hub/writing-center/news?tid=%22conflict, 
war and peace%22",2023-12-12
https://www.pdx.edu/turkish-studies-center/campus-safety/research/news?page=3&tid=education,2023-12-12
https://www.pdx.edu/business/sites/business.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3iwpg,2023-12-12
https://www.pdx.edu/philosophy/sites/philosophy.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ixsi,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/liberal-arts-sciences/health-counseling/news?tid=Currently,2023-12-12
https://www.pdx.edu/history/sites/history.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ix5d,2023-12-12
"https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/business/news?page=4&tid=science 
and technology",2023-12-12
https://www.pdx.edu/buildings/sites/buildings.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3iwlh,2023-12-12
https://www.pdx.edu/early-childhood-hub/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/art-design/sites/artdesign.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ivw6,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/housing/events/psu-school-architecture-2024-2025-graduate-programs-information-sessions-1,2023-12-12
