Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48863,242,Lansing - Eradico Pest,19,Eradico,iRIS,Howell,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48870,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Palo,MI,186,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48882,242,Lansing - Eradico Pest,19,Eradico,iRIS,Shaftsburg,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48887,242,Lansing - Eradico Pest,19,Eradico,iRIS,Smyrna,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48896,242,Lansing - Eradico Pest,19,Eradico,iRIS,Winn,MI,226,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48901,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48908,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48909,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48913,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48918,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48921,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48922,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48929,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48930,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48950,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48951,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48956,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48980,242,Lansing - Eradico Pest,19,Eradico,iRIS,Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49003,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Kalamazoo,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49005,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Kalamazoo,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49018,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Battle Creek,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49019,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Kalamazoo,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49020,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Bedford,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49023,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Benton Harbor,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49035,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Cloverdale,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49041,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Comstock,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49062,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Kendall,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49063,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Lacota,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49074,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Nazareth,MI,175,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49075,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Nottawa,MI,114,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49077,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Oshtemo,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49081,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Portage,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49204,242,Lansing - Eradico Pest,19,Eradico,iRIS,Jackson,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49239,242,Lansing - Eradico Pest,19,Eradico,iRIS,Frontier,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49257,242,Lansing - Eradico Pest,19,Eradico,iRIS,Moscow,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49258,242,Lansing - Eradico Pest,19,Eradico,iRIS,Mosherville,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49311,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Bradley,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49314,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Burnips,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49317,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Cannonsburg,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49355,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Ada,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49356,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Ada,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49416,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Glenn,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49422,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Holland,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49427,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Jamestown,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49429,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Jenison,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49443,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Muskegon,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49458,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Walhalla,MI,54,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49463,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Sylvan Beach,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49468,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grandville,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49502,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49510,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49514,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49515,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49516,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49518,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49523,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49528,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49530,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49550,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49555,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49588,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49599,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grand Rapids,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49610,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Acme,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49666,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Mayfield,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49673,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Old Mission,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49734,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Gaylord,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49739,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Grayling,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49792,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Tower,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),49797,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Waters,MI,0,yes
